drug_id,entrez_id,tas,name,symbol
HMSL10001,5597,10,Seliciclib,MAPK6
HMSL10001,5598,10,Seliciclib,MAPK7
HMSL10001,5599,10,Seliciclib,MAPK8
HMSL10001,5600,10,Seliciclib,MAPK11
HMSL10001,5601,10,Seliciclib,MAPK9
HMSL10001,5602,10,Seliciclib,MAPK10
HMSL10001,5603,10,Seliciclib,MAPK13
HMSL10001,5604,10,Seliciclib,MAP2K1
HMSL10001,5605,10,Seliciclib,MAP2K2
HMSL10001,5606,10,Seliciclib,MAP2K3
HMSL10001,5607,10,Seliciclib,MAP2K5
HMSL10001,5608,10,Seliciclib,MAP2K6
HMSL10001,5609,10,Seliciclib,MAP2K7
HMSL10001,5610,10,Seliciclib,EIF2AK2
HMSL10001,5613,10,Seliciclib,PRKX
HMSL10001,5747,10,Seliciclib,PTK2
HMSL10001,5753,10,Seliciclib,PTK6
HMSL10001,5871,10,Seliciclib,MAP4K2
HMSL10001,5894,10,Seliciclib,RAF1
HMSL10001,5979,10,Seliciclib,RET
HMSL10001,6093,10,Seliciclib,ROCK1
HMSL10001,6098,10,Seliciclib,ROS1
HMSL10001,6195,10,Seliciclib,RPS6KA1
HMSL10001,6196,10,Seliciclib,RPS6KA2
HMSL10001,6197,10,Seliciclib,RPS6KA3
HMSL10001,6198,10,Seliciclib,RPS6KB1
HMSL10001,6300,10,Seliciclib,MAPK12
HMSL10001,6416,10,Seliciclib,MAP2K4
HMSL10001,6446,10,Seliciclib,SGK1
HMSL10001,6714,10,Seliciclib,SRC
HMSL10001,6725,10,Seliciclib,SRMS
HMSL10001,6732,10,Seliciclib,SRPK1
HMSL10001,6733,10,Seliciclib,SRPK2
HMSL10001,6787,10,Seliciclib,NEK4
HMSL10001,6788,10,Seliciclib,STK3
HMSL10001,6789,10,Seliciclib,STK4
HMSL10001,6790,10,Seliciclib,AURKA
HMSL10001,6792,10,Seliciclib,CDKL5
HMSL10001,6793,10,Seliciclib,STK10
HMSL10001,6794,10,Seliciclib,STK11
HMSL10001,6795,10,Seliciclib,AURKC
HMSL10001,6850,10,Seliciclib,SYK
HMSL10001,6885,10,Seliciclib,MAP3K7
