symbol,entrez_id
NR5A1,2516
NR5A2,2494
NRP1,8829
NSD2,7468
NT5E,4907
NTRK1,4914
NTRK2,4915
NTRK3,4916
NTSR1,4923
NTSR2,23620
NUAK1,9891
NUAK2,81788
OGFRL1,79627
OGT,8473
OPRD1,4985
OPRK1,4986
OPRL1,4987
OPRM1,4988
ORAI1,84876
OSR1,130497
OXER1,165140
OXSR1,9943
OXTR,5021
P2RX1,5023
P2RX3,5024
P2RX4,5025
P2RX7,5027
P2RY1,5028
P2RY10,27334
P2RY11,5032
P2RY12,64805
P2RY14,9934
P2RY2,5029
P2RY4,5030
P2RY6,5031
P4HA1,5033
P4HB,5034
P4HTM,54681
PABPC1,26986
PADI1,29943
PADI2,11240
PADI3,51702
PADI4,23569
PADI6,353238
PAK1,5058
PAK2,5062
PAK3,5063
PAK4,10298
PAK5,57144
PAK6,56924
PAM,5066
PANK1,53354
PANK3,79646
PAOX,196743
PARP1,142
PARP10,84875
PARP15,165631
PARP2,10038
PARP3,10039
PARP4,143
PBK,55872
PCK1,5105
PCNA,5111
PCSK1,5122
PCSK2,5126
PCSK4,54760
PCSK5,5125
PCSK6,5046
PCSK7,9159
PDE10A,10846
PDE11A,50940
PDE1A,5136
PDE1B,5153
PDE1C,5137
PDE2A,5138
PDE3A,5139
PDE3B,5140
PDE4A,5141
PDE4B,5142
PDE4C,5143
PDE4D,5144
PDE5A,8654
PDE6A,5145
PDE6B,5158
PDE6C,5146
PDE6D,5147
PDE6G,5148
PDE6H,5149
PDE7A,5150
PDE7B,27115
PDE8A,5151
PDE8B,8622
PDE9A,5152
PDF,64146
PDGFRA,5156
PDGFRB,5159
PDIA6,10130
PDK1,5163
PDK2,5164
PDK3,5165
PDK4,5166
PDPK1,5170
PEPD,5184
PFKFB1,5207
PFKFB2,5208
PFKFB3,5209
PGA5,5222
PGC,5225
PGD,5226
PGF,5228
PGGT1B,5229
PGK1,5230
PGK2,5232
PGR,5241
PHF8,23133
PHKA1,5255
PHKA2,5256
PHKB,5257
PHKG1,5260
PHKG2,5261
PHLPP1,23239
PHLPP2,23035
PHOSPHO1,162466
PI4K2A,55361
PI4K2B,55300
PI4KA,5297
PI4KB,5298
PIK3C2A,5286
PIK3C2B,5287
PIK3C2G,5288
PIK3C3,5289
PIK3CA,5290
PIK3CB,5291
PIK3CD,5293
PIK3CG,5294
PIK3R1,5295
PIK3R2,5296
PIK3R3,8503
PIK3R5,23533
PIM1,5292
PIM2,11040
PIM3,415116
PIN1,5300
PIP4K2B,8396
PIP4K2C,79837
PIP5K1A,8394
PIP5K1C,23396
PKD1,5310
PKD2,5311
PKM,5315
PKMYT1,9088
PKN1,5585
PKN2,5586
PLA2G10,8399
PLA2G1B,5319
PLA2G2A,5320
PLA2G2C,391013
PLA2G2D,26279
PLA2G2E,30814
PLA2G2F,64600
PLA2G4A,5321
PLA2G4B,100137049
PLA2G4C,8605
PLA2G5,5322
PLA2G6,8398
PLA2G7,7941
PLAA,9373
PLAT,5327
PLAU,5328
PLAUR,5329
PLCG1,5335
PLCG2,5336
PLD1,5337
PLD2,5338
PLEC,5339
PLG,5340
PLK1,5347
PLK2,10769
PLK3,1263
PLK4,10733
PMM2,5373
PNMT,5409
PNP,4860
POLA1,5422
POLB,5423
POLG,5428
POLK,51426
POLR1A,25885
PORCN,64840
PPARA,5465
PPARD,5467
PPARG,5468
PPIA,5478
PPIB,5479
PPID,5481
PPIF,10105
PPM1B,5495
PPM1D,8493
PPOX,5498
PPP1CA,5499
PPP1CC,5501
PPP2R5A,5525
PPP3CA,5530
PPP5C,5536
PRCP,5547
PRD,5548
PREP,5550
PRF1,5551
PRKAA1,5562
PRKAA2,5563
PRKAB1,5564
PRKAB2,5565
PRKACA,5566
PRKACB,5567
PRKACG,5568
PRKAG1,5571
PRKAG2,51422
PRKAG3,53632
PRKCA,5578
PRKCB,5579
PRKCD,5580
PRKCE,5581
PRKCG,5582
PRKCH,5583
PRKCI,5584
PRKCQ,5588
PRKCZ,5590
PRKD1,5587
PRKD2,25865
PRKD3,23683
PRKDC,5591
PRKG1,5592
PRKG2,5593
PRKX,5613
PRMT1,3276
PRMT3,10196
PRMT5,10419
PRMT6,55170
PRMT8,56341
PROC,5624
PROKR1,10887
PRPF4,9128
PRPF4B,8899
PRSS1,5644
PRSS2,5645
PRSS3,5646
PRSS8,5652
PRTN3,5657
PSEN1,5663
PSEN2,5664
PSENEN,55851
PSMA1,5682
PSMA2,5683
PSMA3,5684
PSMA4,5685
PSMA5,5686
PSMA6,5687
PSMA7,5688
PSMA8,143471
PSMB1,5689
PSMB10,5699
PSMB11,122706
PSMB2,5690
PSMB3,5691
PSMB4,5692
PSMB5,5693
PSMB6,5694
PSMB7,5695
PSMB8,5696
PSMB9,5698
PTAFR,5724
PTGDR,5729
PTGDR2,11251
PTGER1,5731
PTGER2,5732
PTGER3,5733
PTGER4,5734
PTGES,9536
PTGES2,80142
PTGFR,5737
PTGIR,5739
PTGIS,5740
PTGS1,5742
PTGS2,5743
PTH1R,5745
PTK2,5747
PTK2B,2185
PTK6,5753
PTP4A3,11156
PTPA,5524
PTPN1,5770
PTPN11,5781
PTPN12,5782
PTPN13,5783
PTPN2,5771
PTPN22,26191
PTPN5,84867
PTPN6,5777
PTPN7,5778
PTPN9,5780
PTPRA,5786
PTPRB,5787
PTPRC,5788
PTPRCAP,5790
PTPRF,5792
PTPRG,5793
PTPRS,5802
PYGB,5834
PYGL,5836
PYGM,5837
QARS,5859
QDPR,5860
QPCT,25797
QPCTL,54814
QRFPR,84109
RAC1,5879
RAD1,5810
RAD51,5888
RAF1,5894
RAMP1,10267
RAP1A,5906
RAPGEF3,10411
RAPGEF4,11069
RARA,5914
RARB,5915
RARG,5916
RASGRP1,10125
RASGRP3,25780
RBBP4,5928
RBBP7,5931
RBBP9,10741
RBP2,5948
RBP4,5950
RCE1,9986
RCOR1,23186
RELA,5970
REN,5972
RET,5979
RFC1,5981
RGS4,5999
RGS8,85397
RHOA,387
RIOK1,83732
RIOK2,55781
RIOK3,8780
RIPK1,8737
RIPK2,8767
RIPK4,54101
RNASEH1,246243
RNASEL,6041
RNH1,6050
RNPEP,6051
ROCK1,6093
ROCK2,9475
RORA,6095
RORB,6096
RORC,6097
ROS1,6098
RPA1,6117
RPS27,6232
RPS6KA1,6195
RPS6KA2,6196
RPS6KA3,6197
RPS6KA4,8986
RPS6KA5,9252
RPS6KA6,27330
RPS6KB1,6198
RPS6KB2,6199
RRM1,6240
RRM2,6241
RRM2B,50484
RUNX1,861
RXRA,6256
RXRB,6257
RXRG,6258
RYR1,6261
S100A10,6281
S100B,6285
S1PR1,1901
S1PR2,9294
S1PR3,1903
S1PR4,8698
S1PR5,53637
SAE1,10055
SBK1,388228
SBK3,100130827
SCARB1,949
SCD,6319
SCD5,79966
SCG2,7857
SCN10A,6336
SCN1A,6323
SCN2A,6326
SCN3A,6328
SCN4A,6329
SCN5A,6331
SCN8A,6334
SCN9A,6335
SCNN1A,6337
SELE,6401
SELL,6402
SELP,6403
SENP1,29843
SERPINA6,866
SERPINC1,462
SERPINE1,5054
SETD7,80854
SF1,7536
SFRP1,6422
SGK1,6446
SGK3,23678
SGMS1,259230
SGPL1,8879
SHBG,6462
SHC1,6464
SHH,6469
SI,6476
SIGMAR1,10280
SIK1,150094
SIK2,23235
SIK3,23387
SIRT1,23411
SIRT2,22933
SIRT3,23410
SIRT5,23408
SLC10A2,6555
SLC16A1,6566
SLC16A3,9123
SLC18A2,6571
SLC18A3,6572
SLC19A1,6573
SLC1A1,6505
SLC1A2,6506
