hmsID_1,hmsID_2,metric,similarity
10001,10084,structural_similarity,0.386363636363636
10001,10084,target_similarity,0.278
10001,10085,structural_similarity,0.14018691588785
10001,10085,target_similarity,0.2
10001,10086,structural_similarity,0.132075471698113
10001,10086,target_similarity,0.225
10001,10087,structural_similarity,0.160377358490566
10001,10087,target_similarity,0.248
10001,10088,structural_similarity,0.0860215053763441
10001,10088,target_similarity,0.273
10001,10089,structural_similarity,0.108910891089109
10001,10089,target_similarity,0.25
10001,10090,structural_similarity,0.122641509433962
10001,10090,target_similarity,0.242
10001,10091,structural_similarity,0.183673469387755
10001,10091,target_similarity,0.215
10001,10092,structural_similarity,0.15
10001,10092,target_similarity,0.233
10001,10093,structural_similarity,0.13265306122449
10001,10093,target_similarity,0.224
10001,10094,structural_similarity,0.16
10001,10094,target_similarity,0.253
10001,10095,structural_similarity,0.14
10001,10095,target_similarity,0.242
10001,10096,structural_similarity,0.125
10001,10096,target_similarity,0.29
10001,10097,structural_similarity,0.0989010989010989
10001,10097,target_similarity,0.266
10001,10098,structural_similarity,0.0865384615384615
10001,10098,target_similarity,0.297
10001,10099,structural_similarity,0.163461538461538
10001,10099,target_similarity,0.222
10001,10100,structural_similarity,0.11340206185567
10001,10100,target_similarity,0.211
10001,10101,structural_similarity,0.133333333333333
10001,10101,target_similarity,0.247
10001,10103,structural_similarity,0.128712871287129
10001,10103,target_similarity,0.154
10001,10104,structural_similarity,0.133333333333333
10001,10104,target_similarity,0.289
10001,10105,structural_similarity,0.174757281553398
10001,10105,target_similarity,0.242
10001,10106,structural_similarity,0.152173913043478
10001,10106,target_similarity,0.233
10001,10114,structural_similarity,0.123711340206186
10001,10114,target_similarity,0.25
10001,10115,structural_similarity,0.119565217391304
10001,10115,target_similarity,0.207
10001,10120,structural_similarity,0.109090909090909
10001,10120,target_similarity,0.272
10001,10123,structural_similarity,0.142857142857143
10001,10123,target_similarity,0.276
10001,10124,structural_similarity,0.168316831683168
10001,10124,target_similarity,0.167
10001,10125,structural_similarity,0.12280701754386
10001,10125,target_similarity,0.266
10001,10126,structural_similarity,0.134831460674157
10001,10126,target_similarity,0.268
10001,10127,structural_similarity,0.0927835051546392
10001,10127,target_similarity,0.232
10001,10128,structural_similarity,0.150943396226415
10001,10128,target_similarity,0.22
10001,10129,structural_similarity,0.142857142857143
10001,10129,target_similarity,0.202
10001,10130,structural_similarity,0.14018691588785
10001,10130,target_similarity,0.212
10001,10132,structural_similarity,0.142857142857143
10001,10132,target_similarity,0.273
10001,10133,structural_similarity,0.114035087719298
10001,10133,target_similarity,0.269
10001,10134,structural_similarity,0.137404580152672
10001,10134,target_similarity,0.233
10001,10135,structural_similarity,0.173913043478261
10001,10135,target_similarity,0.295
10001,10136,structural_similarity,0.116883116883117
10001,10136,target_similarity,0.199
10001,10137,structural_similarity,0.146788990825688
10001,10137,target_similarity,0.25
10001,10138,structural_similarity,0.10752688172043
10001,10138,target_similarity,0.259
